TITULO|CONCEITOS
Allotment Locations|165141,165142,214539
Community Council Boundaries|168609,229437,29602
Conservation Areas|207319,207320
Core Path Network|198486,203906,203807
Defined Policy Areas|190409,191468,177101
Development Proposals Area|219699,212886
Development Proposals Line|219699,212886
Employment Land Audit|204511,206831
Fife Common Good Land|163340,163651,194402,229645,204511
Fife Primary School Catchments|194402,213886,183471,199323,188634
Fife RC Primary School Catchments|194402,213886,183471,199323,188634
Fife RC Secondary School Catchments|194402,214269,183471,199323,179458
Fife Secondary School Catchments|194402,214269,183471,199323,179458
Housing Land Audit 2014|212986,204511,206831,213433
Listed Buildings|164488
Local Landscape Areas|227354,208725
Natural Heritage Sites|203432,203433,203434,175853,202900,195516,163340,225580
Polling Districts|227649,227650,187055,15582,228467,170881,182092,214667
Polling Places|227649,227650,202900,15582,228467,170881
Tree Preservation Order Areas|197323,172293,172294,173028
Tree Preservation Order Points|197323,172293,172294,173028
Vacant And Derelict Land|200415,200416,204511
Wind Turbines|226895,111002,229417,217656,209406,172251,220890,167912,225125,187087
Windfarm Broad Area Of Search|30394,180783,212824,212825,212826
AIR EMEP Monitoring Sites|196186,196187,196188,196190,179574,202900,174272
Air Monitoring Sites|196186,196187,196188,196190,179574,202900,174272
Air Zones|196186,196187,196188,196190,216608
Bathing Water Quality|181429,174706,208326,208327,208328
Coal Restricted Areas|165852,165853
Coastal waterbodies|25322,25544,164612
EPA Offices|189976,217062,171886
Geological Linear Features|209671
Ground waterbodies|173137,25322,25544,164612
Historical Groundwater Quality|208326,208327,208328
Large Towns|207914,195491
Licenced IPPC Facilities|206003
Licenced Waste Facilities|175272,175273,175274,206003
Linear Mine Features|174916,209671
Linear Waste Features|175272,175273,175274,209671
Medium Towns|195491,192817
Mine District|174916,187055
Mine Site Boundaries|174916,202900,29602
Mine Site Location|174916,202900,214539
Other Waste Areas|175272,175273,175274
Point Mine Features|174916,209671
Point Waste Features|175272,175273,175274,209671
Radiation Monitoring|198698,198699,198700,198701,163807
Radon Map|202234
River Basin District|164393,176201,187055
River Catchments|164393,199323
River Sub Basins|164393,176201
SAC CO Habitats - Area|200477,200478,188116,163711,163884,163885
SAC CO Species - Area|200477,200478,194057,194058,163711,163884,163885
SPA CO Habitats - Area|200651,188116,163711,163884,163885
Site Features|202900,209671
Small Towns|214122,214123,195491
Solid Waste Analyses|194111,175272,175273,175274,165326,177185,202486,32127,214552,206919,197783,192651
Solid Waste Heaps|194111,175272,175273,175274
Stream Sediment Analyses|202700,50395,179792,190471,174221,205900
Subsoils|179935
Transitional waterbodies|25322,25544,164612,68682
Water Analyses (Summer)|174706,215044,194690,202486,177185
Water Analyses (Winter)|174706,194690,202486,177185
Water Areas|174706
Water Management Units|174706,201913,201914,204233
Zone of Subsidence|216608,181234,181235,181236
Napier City Council Election Wards|176925,216404,228467,178778,226359,182976,181954
NapierCityCouncil1mContours|216404,168208,229437,219400,226359,182976,181954
NapierCityCouncilAddressPoints|216404,168208,229437,217712,226359,182976,181954
NapierCityCouncilCadastralParcels|216404,168208,229437,175766,175767,175768,175769,226359,182976,181954
NapierCityCouncilCarParks|216404,168208,229437,196073,223367,226359,182976,181954
NapierCityCouncilDogExerciseAreas|216404,168208,229437,200111,218702,59600,133698,151398,226359,182976,181954
NapierCityCouncilHeritageBuildingDatabase|216404,168208,229437,175853,175854,175855,175856,164488,165975,226359,182976,181954
NapierCityCouncilLeasedParking|216404,168208,229437,225691,225692,226359,182976,181954
NapierCityCouncilLiquorBan|216404,168208,229437,225448,75093,195928,195929,226359,182976,181954
NapierCityCouncilMobilityParks|216404,168208,229437,205688,223367,226359,182976,181954
NapierCityCouncilMotorcycleParks|216404,168208,229437,179187,223367,226359,182976,181954
NapierCityCouncilOnStreetParks|216404,168208,229437,204365,223367,226359,182976,181954
NapierCityCouncilOperativePlanZones|216404,168208,229437,55942,103398,216608,226359,182976,181954
NapierCityCouncilPayandDisplayCarparks|216404,168208,229437,37616,210874,210875,210876,210877,226359,182976,181954
NapierCityCouncilSubdivisionApplications|216404,168208,229437,196805,181864,226359,182976,181954
NapierCityCouncilTitleParcels|216404,168208,229437,175766,175767,175768,175769,226359,182976,181954
ne_50m_boundary_lines_land|29602,204511
ne_50m_coastline|229729,163956,163937
