TITULO,NOME_CONCEITO,CONCEITO
Allotment Locations,allotment,http://dbpedia.org/class/yago/Allotment113289467
Allotment Locations,allotment,http://dbpedia.org/class/yago/Allotment101083645
Allotment Locations,location,http://dbpedia.org/class/yago/Location100027167
Community Council Boundaries,community,http://dbpedia.org/class/yago/Community108223802
Community Council Boundaries,council,http://dbpedia.org/class/yago/Council108310949
Community Council Boundaries,boundary,http://dbpedia.org/class/yago/WritingSystemsWithoutWordBoundaries
Conservation Areas,conservation,http://dbpedia.org/class/yago/Conservation100819274
Conservation Areas,conservation,http://dbpedia.org/class/yago/Conservation106104073
Core Path Network,midpoint,http://dbpedia.org/class/yago/Center108521816
Core Path Network,way,http://dbpedia.org/class/yago/Way100415676
Core Path Network,web,http://dbpedia.org/class/yago/Network108434259
Defined Policy Areas,policy,http://dbpedia.org/class/yago/Policy105901508
Defined Policy Areas,federal agency,http://dbpedia.org/class/yago/Agency108337324
Defined Policy Areas,intelligence,http://dbpedia.org/class/yago/Intelligence108339454
Development Proposals Area,development,http://dbpedia.org/class/yago/Development100250259
Development Proposals Area,proposal,http://dbpedia.org/class/yago/Proposal107162194
Development Proposals Line,development,http://dbpedia.org/class/yago/Development100250259
Development Proposals Line,proposal,http://dbpedia.org/class/yago/Proposal107162194
Employment Land Audit,land,http://dbpedia.org/class/yago/Land113250048
Employment Land Audit,audit,http://dbpedia.org/class/yago/Audit100141176
Employment Land Audit,organ,http://dbpedia.org/class/yago/Organ105297523
Employment Land Audit,organ,http://dbpedia.org/class/yago/Organ103854065
Fife Common Good Land,organization,http://dbpedia.org/class/yago/Organization108008335
Fife Common Good Land,property,http://dbpedia.org/class/yago/Property113244109
Fife Common Good Land,fife,http://dbpedia.org/class/yago/Fife103334492
Fife Common Good Land,good,http://dbpedia.org/class/yago/Good105159725
Fife Common Good Land,land,http://dbpedia.org/class/yago/Land113250048
Fife Common Good Land,work,http://dbpedia.org/class/yago/Oeuvre103841417
Fife Primary School Catchments,fife,http://dbpedia.org/class/yago/Fife103334492
Fife Primary School Catchments,primary,http://dbpedia.org/class/yago/Primary109398769
Fife Primary School Catchments,school,http://dbpedia.org/class/yago/School108276720
Fife Primary School Catchments,catchment,http://dbpedia.org/class/yago/Catchment102983357
Fife Primary School Catchments,primary election,http://dbpedia.org/class/yago/Primary100182571
Fife Primary School Catchments,area,http://dbpedia.org/class/yago/Area108497294
Fife RC Primary School Catchments,fife,http://dbpedia.org/class/yago/Fife103334492
Fife RC Primary School Catchments,primary,http://dbpedia.org/class/yago/Primary109398769
Fife RC Primary School Catchments,school,http://dbpedia.org/class/yago/School108276720
Fife RC Primary School Catchments,catchment,http://dbpedia.org/class/yago/Catchment102983357
