TITULO|CONCEITOS
Aboriginal Lands|200,253,221823,427,757,2937,3500,42661,204511,204512,204513,204514,4266,4785,4786,4819,4822,4823,4824,4825,4858,5125,5126,5224,5225,6082,6334,6481,6705,7057,7059,7071,7072,7073,7074,7075,7076,7335,7336,7337,7338,7339,7340,7341,7342,7343,7513,7514,7515,7518,7520,7537,7556,7557,7558,7682,7683,7701,7804,7772,7801,7803,7805,7888,8357,8554,8555,8556,8557,8775,8830,8951,8952,8999,9152,9363,9417,9418,9419,9654,9742,9743,9808,9809,9810,9913,9914,9993,10067,10068,10069,10070,10327,10694,11410,11433,11750,11751,11754,11944,12374,12414,12417,12570,12813,13327,13400,13544,13759,13894,14223,14224,14225,14226,14242,14243,14278,14279,14286,14294,14295,14296,14367,14368,14374,14399,14436,14495,14496,14497,14734,14735,14936,14997,15025,15026,15369,15630,15631,15838,16016,16114,16115,16184,16185,16269,16357,16358,16385,16528,16804,16883,16937,16938,16939,17030,17031,17094,17123,17217,17268,17269,17286,17345,17377,17475,17486,17535,17574,17669,17670,17671,17686,17690,17691,17693,17739,17740,17879,17900,17929,17958,18164,18574,18654,18723,18724,19749,20375,20562,20943,21121,21122,21235,21240,21398,21399,21400,21440,21441,21442,21474,21630,21748,21818,22092,22334,22444,22532,22533,22534,22655,22656,22771,22786,22787,22962,23215,23216,23234,23797,23897,23898,24543,24544,24545,24644,25136,25190,25191,25927,25934,26170,26391,26407,26422,26505,26563,26677,26817,26818,26996,27143,27838,28129,28130,28420,28180,28318,28487,28488,28554,28835,28871,29164,29241,29283,29288,29289,29470,29532,29583,29584,29585,29603,29832,29935,30094,30095,30162,30405,30406,30491,30632,30670,30742,30773,30833,31094,31145,31177,31178,31584,31859,31893,32193,32194,32287,32288,32289,32311,32353,32375,32529,32530,32538,32600,32601,32709,32759,32789,33330,33333,33334,33367,33368,33449,33450,33451,33459,33460,33490,33491,33492,33493,33494,33544,33565,33608,33612,33631,33632,33677,33783,33784,33789,33853,33958,34075,34152,34241,34250,34378,34447,34454,34492,34695,34696,34763,34860,34949,34968,35012,35027,35038,35039,35139,35141,35266,35273,35289,35290,35291,35292,35640,35689,35704,35798,35847,35848,35981,35982,36081,36082,36108,36221,36229,36239,36351,36545,36546,36617,36623,36624,36660,36669,36671,36682,36683,36684,36699,36763,36764,36765,36766,36771,36783,36785,36804,36835,36836,36837,36838,36840,36841,36842,36857,36892,36923,36928,36929,36984,37234,37331,37333,37347,37436,37437,37438,37639,37742,37801,37802,37803,38016,38283,38493,38532,38757,39112,39113,39117,39272,39311,39512,39513,39657,39858,39966,39967,40048,40049,40614,40951,40985,41000,41082,41507,41652,41654,41713,41765,41800,41865,41966,42129,42184,42314,42618,42619,43161,43218,43219,43752,43902,43903,43964,44072,44082,44094,44144,44145,44486,44707,44848,45067,45149,45462,45703,45748,45959,46087,46215,46276,46398,47183,47320,47910,48149,48570,48573,48574,48896,48900,48976,48977,48978,49141,49142,49196,49201,49202,49643,49644,49645,49646,49672,49674,49676,49699,50221,50488,50550,50597,50625,50955,51051,51254,51483,51608,51715,51905,51844,51945,51965,52290,52529,52572,52883,53089,53168,53272,53549,53658,53660,54005,54176,54184,54287,54288,54998,55018,55055,55123,56152,56353,56429,56556,56633,56634,56704,57140,57155,57156,57216,57289,57373,57493,57990,58221,58222,58438,58456,58457,58946,59378,59437,59602,60093,60429,60434,60545,60643,60688,61046,61151,61266,61455,61465,61548,61700,61929,62101,62308,62748,62901,62902,63118,63143,63144,63243,63329,63339,63346,63545,63577,63610,63611,63709,63749,63777,63821,63973,63990,64059,64075,64243,64332,64519,64540,64607,64650,64666,64793,64925,65302,66098,66176,66258,66323,66376,66496,66557,66583,66626,66830,67057,67200,67375,67377,67478,67673,67725,67785,67870,67902,67974,68151,68319,68322,68323,68545,68854,69211,69326,69385,69392,69546,69758,69959,70319,70454,70465,70533,70835,70864,71015,71021,71070,71117,71191,71491,71872,71976,72057,72271,72290,72639,72965,73299,73355,73573,73624,73632,73787,73904,74189,74377,74532,74550,74636,74965,75158,75304,75495,75502,75517,75518,75556,75588,75862,76182,76383,76397,76720,76721,76868,77086,77209,77286,77405,77548,77558,77631,78071,78080,78176,78220,78540,78786,78841,79144,80249,80316,80342,80433,80438,80444,80648,80706,81148,81375,81446,81457,81581,81792,82038,82169,82187,82415,82530,82660,82737,82899,82944,83022,83546,83592,83626,84018,84075,84076,84099,84223,84300,84520,84521,84884,84907,85162,85657,85833,86073,86154,86280,86831,87020,87059,87164,87350,87417,87456,87560,87990,88010,88319,88516,88568,88743,88864,89060,89082,89219,89322,89890,89894,90049,90192,90396,91006,91020,91134,91478,91479,91767,91792,91863,92188,92352,92680,92859,92865,93052,93186,93650,93690,93773,93933,94013,94251,94348,94352,94453,94695,94785,94927,95047,95325,95611,95894,96328,96486,96731,96858,96908,96931,97033,97103,97324,97329,97330,97337,97375,97891,98042,98088,98188,98198,98199,98219,98292,98491,98533,98573,98574,98575,98576,98577,98604,98930,99244,99427,99430,100272,100676,101176,101262,101676,101966,102414,102687,102714,102727,103117,103194,103217,103223,103225,103349,103431,103523,103598,103678,103859,104226,104351,104389,104810,105371,105396,105435,105611,105702,105803,105949,106135,106357,106379,107070,107317,107651,107830,108091,108103,108249,108285,108446,108554,108722,108944,108949,109326,109352,109733,110200,111730,112152,112156,112487,112753,112783,112985,113280,113303,113564,113694,113783,113785,114326,114497,114513,114562,114654,114838,115128,115238,115529,115559,115679,116185,116192,116543,116760,116848,116923,117289,117319,117404,117474,117796,118026,118523,119159,119494,119570,119784,119939,120407,120562,121283,121356,121509,121588,121785,122379,122482,123009,123320,123569,123645,123771,123841,123855,124142,124209,124418,124472,124597,124693,124777,125593,125891,125979,126366,126774,126992,127994,128064,128077,128705,128866,129082,129099,129544,129704,129788,130481,130482,130706,130707,130961,131706,131869,132014,132246,132701,132712,133250,133341,133931,134540,134570,134692,134730,134731,134741,134909,134990,135140,135371,135446,135473,135646,135736,136084,136296,136303,137586,137808,137984,138252,138265,138646,138647,139176,139230,139280,139373,139695,139752,139784,139857,139982,140082,140122,140151,140387,140441,140586,140862,140681,140949,141146,141154,141188,141403,141792,141801,142266,142279,142307,142472,142556,143049,143251,143278,143546,143547,143746,143772,143824,143892,144004,144459,144493,144575,144710,144872,144928,144941,145083,145087,145123,145321,145352,145534,145539,145561,145871,146298,146391,146501,146618,146671,146914,147102,147118,147709,147719,147993,148119,148129,148268,148269,148270,148362,148499,149128,149231,149386,149679,149927,150135,150136,150487,150595,150615,150737,151085,151176,151231,151373,151384,151597,151877,151878,152061,152229,152295,152324,152366,152611,152816,153085,153153,153156,153546,153595,153597,153776,153858,153940,154045,154050,154722,154882,155245,155246,155333,155384,155416,156161,156215,156283,156343,156430,156504,157304,157305,157365,157504,157547,157653,157681,157711,157721,157793,157897,157977,158121,158178,158338,158352,158958,159008,159063,159100,159271,159630,159728,159753,159794,159959,159960,160197,160270,160302,160492,160519,160785,161282,161813,161969,161970,161971,162053,162054,162208,162331,162424,195516,195517,195518,10078,13605,13608,13609,14763,14764,16681,19483,20270,24012,24101,24102,26109,26110,26116,27120,27121,27310,28463,29324,29358,29360,35216,41369,43973,44579,47463,51444,52850,59737,61256,63235,63935,65353,66320,66798,67905,70567,71148,71299,72038,72040,72607,74490,79448,81705,82416,83652,89045,89717,89821,91237,91591,92806,93517,96659,99208,104498,110723,110740,110741,128876,130363,131794,132122,132221,132595,133897,135240,139920,141426,142486,145769,146491,146811,148420,149073,153332,157673,159775,213008,213009,213010,5957,6293,6759,11745,18859,23946,27293,29545,31035,33786,34202,36509,50791,59819,62388,63893,65934,85360,89360,89660,96981,106439,123919,133808,142846,153928,156033,203382,203383,203384,203385,203386,203387,203388,203389,118016,18965,18966,25097,34891,35462,39474,39475,43863,49094,49830,49831,55545,55546,55547,55550,68982,76048,77959,81579,83478,92559,95220,95297,95626,95627,95691,99514,101105,101598,103506,111743,114527,115201,117340,118016,118107,119634,122788,123942,125063,125163,125164,129618,129619,131113,131115,133002,134940,138277,138488,139962,151680,158451,161816,198184,13417
Annual cropland|26,227574,37,190972,190973,190974,190975,51,73,137,593,33666,83087,99671,108146,123538,132486,157117,197143,771,4662,8500,13558,18845,22692,24458,25291,30452,34476,37083,47484,54763,58580,69976,72927,76161,82836,83381,128353,138271,144488,150411,157601,203316,203317,3038,3265,3287,6295,6364,9980,9981,11382,11383,13927,21596,23875,26731,29908,65217,94897,164393,3292,46119,143834,202700,202701,202702,202703,202704,5957,6293,6759,11745,18859,23946,27293,29545,31035,33786,34202,36509,50791,59819,62388,63893,65934,85360,89360,89660,96981,106439,123919,133808,142846,153928,156033,203382,203383,203384,203385,203386,203387,203388,203389,6308,8558,9013,9917,12495,12535,14769,18004,18123,20396,20902,21190,21212,23884,23905,26641,28872,30938,30939,36209,36792,37543,38764,40615,40825,41007,42085,47395,48079,50641,50998,53713,55168,55422,57370,59151,59152,60029,60251,61289,61734,61988,62141,64068,64264,64951,65664,66938,66940,72059,72385,75223,80624,81219,81345,81726,83580,84017,84929,91141,94024,94443,94882,95273,98417,99743,100480,100978,101684,105635,108545,108857,111677,115288,122445,126504,128782,131351,135605,138767,142692,143277,145947,147720,148299,150601,150710,150727,151203,153238,160758,161186,5027,5028,21054,56976,115817,163152,163153,163154,163155,163156,163157,163158,207108
Bare soil with cryptogam crust - frostboils|137,241,228889,253,221823,282,194772,194773,283,211128,771,4662,8500,13558,18845,22692,24458,25291,30452,34476,37083,47484,54763,58580,69976,72927,76161,82836,83381,128353,138271,144488,150411,157601,203316,203317,879,1874,176739,176740,176741,2937,3500,42661,204511,204512,204513,204514,3127,190985,190986,2937,3500,42661,204511,204512,204513,204514,5957,6293,6759,11745,18859,23946,27293,29545,31035,33786,34202,36509,50791,59819,62388,63893,65934,85360,89360,89660,96981,106439,123919,133808,142846,153928,156033,203382,203383,203384,203385,203386,203387,203388,203389,6308,8558,9013,9917,12495,12535,14769,18004,18123,20396,20902,21190,21212,23884,23905,26641,28872,30938,30939,36209,36792,37543,38764,40615,40825,41007,42085,47395,48079,50641,50998,53713,55168,55422,57370,59151,59152,60029,60251,61289,61734,61988,62141,64068,64264,64951,65664,66938,66940,72059,72385,75223,80624,81219,81345,81726,83580,84017,84929,91141,94024,94443,94882,95273,98417,99743,100480,100978,101684,105635,108545,108857,111677,115288,122445,126504,128782,131351,135605,138767,142692,143277,145947,147720,148299,150601,150710,150727,151203,153238,160758,161186,194058,194057,26,227574
Barren/Non-vegetated|253,221823,465,1436,3032,3587,4555,4621,4628,4640,5014,5743,6136,7156,10202,10747,10932,11601,12618,13972,14074,15081,15442,15515,16685,17134,26608,28535,34132,36973,38712,42628,45314,48606,50153,54167,60218,62156,63952,68627,78812,80509,86231,91566,101491,113437,113525,114172,115236,119268,128167,129259,223317,194057,194058
Bathymetric|267,206265,2695,174968,2722,165176,165177,23579,28829,49444,50043,52549,58254,66929,88204,90958,110665,117129,117415,117501,117607,118044,118062,126024,131222,131230,131232,133957,135165,136505,137196,138565,143169,146531,146892,159479,162263,219191,219192
BC Coastline - Lines (1:250K)|3314,3316,3318,3330,3331,67459,212153,212154
Boundaries of Drainage Areas|42,55,227860,227861,202,4415,5116,5174,5452,5453,6056,7553,7554,7555,8934,9612,10169,11430,13778,15131,18173,20109,20111,23519,23689,25226,27058,27912,40692,43496,56544,59592,84236,45370,146567,159155,160242,168208,168209,168210,245,187853,256,200242,1692,191400,879,915,165281,1472,3000,200043,1692,191400,1709,169320,169321,3162,3262,6968,25362,63337,107338,115289,176201,176202,176203,176204,176205,3287,6295,6364,9980,9981,11382,11383,13927,21596,23875,26731,29908,65217,94897,164393,3356,4169,13753,24782,28125,47162,109815,229948,229949,229950,4206,29602,4232,227354,15021,48243,73745,174706,174707,174708,174709,174710,1437,207047,207048,1468,199167,33081,227227,27632,208424,208425
Boundaries of Major Drainage Areas from Water Survey of Canada|55,227860,227861,137,174,245,187853,256,200242,697,197378,879,915,165281,1692,191400,1709,169320,169321,3162,3262,6968,25362,63337,107338,115289,176201,176202,176203,176204,176205,3280,8307,8309,9739,9741,13890,13897,13906,14098,22811,25323,30169,31194,46712,63191,69057,69121,122538,126728,129445,204489,204490,204491,3286,4019,85462,226179,226180,3287,6295,6364,9980,9981,11382,11383,13927,21596,23875,26731,29908,65217,94897,164393,3295,3356,4169,13753,24782,28125,47162,109815,229948,229949,229950,4206,29602,4232,227354,117289,106439,14296,18123,17739,103217,124597,83580,36617,86280,16939,159728,42314,7804,45748,153153,76721,153776,7518,11750,153085,109352,33853,15631,37437,25934,46398,57140,153238,20375,133341,22532,33632,73355,92859,40985,17030,13894,44082,22962,100480,125979,81375,45462,108944,51945,153928,63118,64793,69326,7074,28488,157365,4858,8775,83626,114654,139784,93052,34696,32289,147720,159960,9743,42184,9152,28554,14735,35798,81581,64264,150669,72290,32530,36699,118026,8555,57493,117474,63329,82899,4785,144928,116192,39112,158359,136296,17123,67478,121283,39311,54287,106357,34447,56704,50625,149927,150487,82187,149386,7336,26818,21818,61289,10069,112783,156343,61046,130482,103225,151384,36783,57155,159794,64075,21630,139752,161813,33492,36836,146914,29935,94013,159630,96486,94453,49643,74965,148268,140586,63577,98575,58946,89660,162331,115238,22787,157897,160785,39657,15021,36624,60434,141801,67785,98198,160270,34968,36785,151877,129082,53168,72965,119159,63611,115559,122482,7335,157711,24544,101676,14734,85162,4786,27143,75223,33544,53660,22655,7801,156908,22444,85360,35273,36842,29470,17475,36764,5126,65302,11944,39272,93773,36623,156033,64243,94251,107070,48976,101262,84099,89894,150671,123009,100272,62308,33786,7537,36857,98417,74532,77405,141403,159271,139695,159008,101684,30094,97891,81457,143944,9417,103194,61151,36765,195517,41007,134990,203386,143251,7683,17690,97324,139373,77631,56634,23215,84929,12374,84520,56633,153156,143546,223530,223531,10070,138647,88864,112985,82169,23234,15369,91767,36928,133250,9654,28487,75942,23946,4825,61700,89890,49201,57370,46215,174709,89322,94785,52658,17031,70864,54288,81345,57373,9993,30491,75502,49645,115679,152229,17693,7558,66557,52290,108722,167867,203384,126504,38757,78071,143547,29532,110200,115529,67870,101176,64607,66258,48149,55055,40615,64650,47320,48243,156215,36892,48946,82415,147993,71117,142472,91006,95894,116923,80270,18004,33631,41966,75304,53713,151373,17574,143772,64059,92680,160302,34492,124472,14495,52883,138767,14997,31035,8558,9808,129704,23750,16115,56556,67974,142266,43903,30833,130706,58456,6082,64332,68319,145871,97103,7338,100682,139280,18724,101966,78673,68854,150710,167866,115288,128866,14295,153597,137802,20943,95273,60029,54498,36660,17269,152816,80249,7556,36763,7515,29283,49644,5125,91792,7682,69758,64666,63893,112753,37639,47395,135140,89060,34152,35848,66176,29603,13400,75588,67375,148270,21212,123569,32789,16385,32759,7772,94348,59437,151597,36239,121705,41865,49676,140949,157304,66940,51051,60643,195518,22533,40048,46276,88743,32538,34860,14399,66830,64951,105371,17879,63990,14368,16185,159063,80438,31859,150615,45959,208425,121509,124142,87417,112156,94882,140387,70465,92352,110820,8830,32193,144575,30938,28871,7337,80706,22771,6705,14279,74550,140862,36838,31584,156283,59602,146298,55168,21399,33449,35290,4266,64068,124777,36682,97330,75158,36221,157305,151203,14936,30406,91479,69546,124693,27632,104389,41765,98088,40825,67224,155333,86073,49646,76182,67377,4824,147118,57289,124418,28180,14769,7057,128705,37543,85833,104810,87164,112152,23905,71976,121588,98930,26641,52572,91478,160197,145539,134570,55681,102714,80433,35266,128064,155246,95325,153858,159100,150601,72057,151231,162054,6334,70533,151085,131706,119784,208424,93650,14374,38493,138252,125891,78841,142692,81446,33783,35141,60429,113783,32287,98573,30162,31893,7340,97375,98576,38283,108857,37234,34378,154050,66583,114838,75517,9418,34250,10068,143824,107317,35291,146160,158338,17535,71872,124209,48896,62902,63144,108446,142556,113785,72059,7075,94024,73632,21440,153940,153546,30405,94352,21190,73624,60251,7072,58221,35689,18859,98188,145352,203388,145087,11433,51608,40049,66098,76397,33490,135446,33493,104351,8554,113564,16016,129788,130481,9917,64640,21398,141792,18164,36929,88010,84521,150727,49196,118523,96858,174710,174706,16804,21748,102727,63777,22334,162208,39858,150136,121785,36684,144493,87990,161969,82038,127994,73904,17094,35704,82660,14225,33333,91141,98574,86831,8556,12414,129544,51905,52529,29584,77548,62388,39966,66938,139176,29832,40951,33789,122445,91020,7341,82737,105611,142846,96981,8357,158121,108249,35847,77558,6759,61988,157793,146618,66323,161971,69392,41507,43219,139230,160519,40614,17740,15630,4823,25927,156430,7803,144459,50641,100978,103678,103598,17377,26505,49699,158178,36837,50998,21442,94695,150135,155384,10067,162424,74636,21235,67673,63610,18654,132246,5957,36209,141188,60545,121356,133808,160492,73299,20902,148119,123855,30670,51254,75862,1468,140151,92188,99427,47910,9809,154882,114562,76868,61548,54005,61929,74377,42129,35012,37331,134730,29288,16528,16883,23884,146671,227227,51844,50955,5224,98604,82530,11410,32353,83592,33451,17958,7071,49141,53272,112487,148499,109326,16938,11754,33677,36081,130707,89082,33081,33494,139857,108949,54998,145123,103859,44486,50597,21121,145083,88568,63243,35981,14294,36545,7520,113303,70835,8951,6481,72385,203383,138265,55123,105435,63709,73573,7073,145534,32600,17900,80444,65664,60093,33330,93933,47183,13759,9419,157547,17929,36546,4822,13327,7076,130961,103349,135605,78786,21474,137984,134909,41800,87020,107651,98491,82944,161970,36082,33450,76720,11745,105702,69211,34454,9913,107830,35027,88447,36671,136303,24644,6293,33368,70319,49672,17670,33565,43964,48079,59152,33491,14496,62748,143277,144941,96908,87456,64925,33367,21400,39117,41713,78220,137808,94927,123771,7701,9810,160758,31094,58457,27838,66805,57156,53549,83546,18723,49674,61175,22656,174708,37803,104226,27293,75556,144872,153595,63545,162053,84017,48719,123320,36669,154045,46087,117319,98533,63346,140441,91863,30095,43902,32375,13544,16269,14242,32709,69959,15838,223529,42619,15025,28420,146501,126366,98042,131869,36984,73787,98577,102687,103223,158958,140681,94443,84018,88516,79144,32601,44848,34763,7805,26996,28872,17268,24545,97337,44094,161282,207047,26407,12813,71021,150737,26391,32288,20396,17286,22534,25190,50550,203382,66496,100469,133931,17217,16184,37742,29289,109733,103431,61266,45067,105635,77286,152324,149231,91571,11751,135473,120562,36792,95611,113280,147102,56429,7059,148129,67725,87350,83022,14278,134692,39513,71070,77086,62901,97033,90396,39113,27760,63749,57216,135371,105396,43752,31178,132712,26170,18574,54176,45703,116848,9914,66626,77209,144004,118526,61734,151878,103523,21122,14367,148299,203387,43218,142279,114326,152366,68323,116185,134540,29585,99743,154722,139982,105803,30939,29545,161186,80648,36771,68322,80342,65627,59819,7513,26422,17691,10694,98292,14436,28835,81148,37347,68151,148362,34949,22786,30773,26677,4819,34202,53658,84223,63143,143278,50488,136084,92517,7514,90192,63339,45149,105949,75495,1437,48573,128782,61455,110821,119939,115128,57958,80316,78080,12495,68545,81792,69385,9742,99430,42618,147719,67902,35982,117404,64519,141154,28129,39967,132014,17345,34695,83002,29241,33958,100676,7888,19749,16358,26817,143892,38016,17686,21240,23898,146391,203389,48900,51715,66376,159753,48978,98219,144710,135646,119570,54184,25191,41000,35038,22092,6308,108545,14286,116543,96931,31145,87059,36351,62101,36840,41652,71491,33459,93690,84300,76383,32194,20562,156161,38764,37801,81219,113694,14243,44072,65213,58222,36766,93186,87560,159959,108091,35640,203385,128077,73745,84076,135736,157653,30632,12535,29583,51483,67486,59378,44144,36841,95047,123645,25136,80624,36509,122379,88319,44145,151176,16357,148269,119494,29164,131351,61804,140082,28318,7339,85657,72271,35039,63821,111807,150595,37438,145321,71191,67057,36923,31177,35292,137586,12570,103117,132701,57990,129099,106379,102414,106135,34241,55018,91134,36229,145561,50221,92865,114497,16114,10327,78540,41630,174707,50791,70454,117796,138646,123841,8952,84907,59151,152295,55422,33334,64540,7557,134741,143746,36108,71245,97329,37436,89360,81726,56353,142307,37333,156504,8557,36835,111677,23797,49202,75518,160525,86139,49142,14223,21441,48570,123919,126992,42085,56152,35289,155245,36804,143049,14497,24543,149679,125593,39512,65934,120407,34075,9152611,26563,28130,78176,67200,12417,111730,14224,84884,108285,108554,9363,61465,23897,134731,38532,14226,17671,71015,152061,195516,62141,41654,89219,145947,74189,114513,72639,48574,33784,86154,48977,33460,43161,17669,33612,44707,33608,51965,63973,32529,53089,141146,147709,84075,157681,36683,30742,98199,16937,60688,5225,32311,41082,8999,99244,157977,116760,158352,126774,58438,96328,149128,17486,90049,9013,155416,23216,207048,7343,7342,157721,157504,35139,108103,47728,140122
British Columbia|200,225,4780,5466,9836,10909,22866,28610,48916,85572,125541,127383,179440,179441,65307,154307,114303,150128,37489,210584,11460,25551,80437,11462,198134,197663,10009,77221,74693,198133,210586,1299,28852,18031,33018,37488,30447,113443,210585,48021,78883
BroadLeaf - Dense|245,187853,465,740,769,197501,785,210461,210462,210463,786,1960,198678,198679,198680,198681,198682,2319,219109,219110,219111,219112,2519,3043,3044,3903,17833,25316,44368,48865,50533,68876,70057,76102,96412,99114,117936,119532,119929,120713,120859,123044,124078,124683,127354,129170,129951,130510,13125,136686,136871,136977,141419,151121,151930,154105,160048,194057,194058,132125,200183
Canadian and Foreign Landmass|3504,13546,27828,40708,52713,65095,55681,26083,100682,61804,78673,111807,65627,54498,66805,150671,61175,92517,48719,133977,143944,110821,57958,146160,105739,81102,71245,150669,121705,160525,86139,75942,83002,158359,100469,30011,64640,141205,29623,155625,91571,110820,65213,80270,184250,27760,67224,67486,118526,88447,23750,47728,50793
