TITULO;PRECISAO;COBERTURA
ACTION;1.0;1.0
ADDRESS;1.0;1.0
ADVICE;1.0;1.0
AGENT;1.0;1.0
AIRZONE;1.0;0.17
APPLICANT;1.0;1.0
APPLICATION_NUMBER;1.0;0.5
AQUATIC_TERRESTRIAL_WETLAND;1.0;1.0
AREAHECTARE;1.0;0.5
AUDIT_YEAR;1.0;1.0
BEACHPHOTO;1.0;1.0
BOUNDARYSOURCE;1.0;0.5
BUILDCOUNT;1.0;1.0
BYLAW;1.0;1.0
CAPACITY;1.0;1.0
CASE_OFFICER;1.0;1.0
CATCHMENT;1.0;1.0
CATEGORY;1.0;1.0
CHANGE;0.0;0.0
CLASSIFICATION;1.0;1.0
CODE;1.0;1.0
COMMENT;1.0;1.0
COMMODITY_PRODUCED;1.0;1.0
CONFIRMATION_DATE;1.0;0.25
COST;1.0;1.0
COUNTY;1.0;1.0
COVERAGE;1.0;1.0
DATE_DATA_REFRESHED;1.0;0.5
DEPTH;1.0;1.0
DESCRIPTION;1.0;1.0
DISPLAY;1.0;1.0
EDENMONENTITY;1.0;0.33
FEATURE;1.0;1.0
FINISH_DAT;1.0;1.0
FURTHER_INFO_PUBLIC;1.0;1.0
GROUNDWATER_DEPENDENT;1.0;0.33
HABITAT_SPECIES;1.0;0.33
HIGH_SCHOOL_CLUSTER;1.0;0.17
HOUSING_MARKET_AREA;1.0;0.6
HYPERLINK;1.0;1.0
INSPECTION_MONTH;1.0;1.0
INTERIOR;1.0;1.0
LABEL;1.0;1.0
LATITUDE;1.0;1.0
LICENCESTATUSDESCRIPTION;1.0;1.0
LOCALPLAN_REFERENCE;1.0;1.0
LOCATION;1.0;1.0
MARINEWATER_DEPENDENT;1.0;0.33
NATIONAL_PARK;1.0;1.0
NUMBER_OF_TURBINES;1.0;1.0
OFFICIAL_GRID_REFERENCE;1.0;0.2
OPERATOR;1.0;1.0
PERIMETER;1.0;1.0
POLICY_TYPE;1.0;0.5
PREVIOUS_MINERAL_WORKINGS;1.0;0.5
PROCESSINGSTATUS;1.0;1.0
PROPOSAL;1.0;1.0
PUBLIC_FURTHER_INFO;1.0;1.0
RAIL_ROAD_VISIBILITY;1.0;0.17
RECOMMENDED_USAGE;1.0;1.0
RECORD_STATUS;1.0;0.5
REFERENCE;1.0;1.0
REGION;1.0;1.0
REMARK;1.0;1.0
REVIEW_DATE;1.0;0.33
RINGS_NOK;1.0;1.0
SALINITY;1.0;1.0
SCALE;1.0;1.0
SCHOOL_NAME;1.0;0.86
SETTLEMENT;0.0;0.0
SHAPE;1.0;1.0
SITE_CAPACITY;1.0;0.83
SITE_CHARACTERISTICS;1.0;1.0
SIZE;1.0;1.0
SOIL_GROUP;1.0;1.0
SOURCE;1.0;1.0
SPECIES;1.0;1.0
START_DATE;1.0;0.25
STATIONPOSITION;1.0;0.5
STATUS;1.0;1.0
STRUCTURE;1.0;1.0
STYLE;1.0;1.0
SUBCLASS;1.0;1.0
SUBSITEPREFIX;1.0;1.0
SURFACEWATER_DEPENDENT;1.0;0.33
SURROUNDING_USE_1;1.0;1.0
SURVEY;1.0;1.0
SYSTEM;1.0;1.0
TIME_LIMIT;1.0;1.0
TREE_NUMBER;1.0;0.5
TYPE;1.0;1.0
URL;1.0;1.0
VERSION;1.0;1.0
VOLUME;1.0;1.0
WARD;1.0;1.0
WATER_DEPENDANCY;1.0;1.0
WATERTYPE;1.0;0.5
WISEREFERENCEDATA;1.0;1.0
YEAR_REVIEWED;1.0;1.0
ZONE_DOCS;1.0;1.0
