TITULO|CONCEITOS
Aboriginal Lands|5975,427,757,253,5829,5814,200,6204,5839,2937,3500
Annual cropland|3038,137,5829,26,37,73,51,593,771,5907,3287,5813,3292,6416,3265,5908
Bare soil with cryptogam crust - frostboils|3127,879,771,5907,137,5829,2937,3500,1874,283,282,253,241
Barren/Non-vegetated|3032,253,1436,3587,465,6103
Bathymetric|2695,267,2722
BC Coastline - Lines (1:250K)|3314,3316,3318,3330,3331
Boundaries of Drainage Areas|538,1692,3356,4206,1472,5979,202,42,55,256,879,3162,3262,3287,5813,915,245,4232,1709,4169
Boundaries of Major Drainage Areas from Water Survey of Canada|3295,4206,1692,1692,6242,5813,4019,3356,3287,3286,3280,55,5829,3162,3262,697,245,256,4232,4169,137,879,915,1709,174
British Columbia|225,5823,200,6136,6204
BroadLeaf - Dense|740,6103,3043,3044,3903,785,786,2319,5905,465,2519,245,769,1960
Canadian and Foreign Landmass|3504,5829,6255,5814
Canadian Geopolitical Boundaries|6318,1472,3000,4206,5829,5814,5975,202,5979,4232
Capital cities in Canada 1:1,000,000 (Atlas of Canada)|5829,5814,202,5979,6181,6255
Cloud|887,972,973,975,979,983,985,986,989,990,992,993,994,1003,1004,1009,1011
Common names of Municipalities (GDF Order-8)|6262,200,6136,6204,5829,4271,6313,5814,6255
Coniferous - Dense|742,6450,6103,3043,3044,3903,785,786,1960,465,2319,5905,2519,245,769,3055
Contours - Lines (1:250K)|2722,4141,4299,3768
Cultivated agricultural land|135,26,51,253,5829,6009,5814,2937,3500,4020
Cultural Features|590,284
Data Collections from GeoBase|3678,3679,4053,309,6072,59,6250,6205
Deciduous Forest|745,56,4268,135,3043,3044,740,3903,245,3040,134
Dry graminoid prostrate dwarf shrub tundra|3117,771,5907,3043,3044,3903,3063,6008,465,6103,168,777,245,3088,3055
Elevation|2704,2722
Exclusive economic zone of Canada 1:1,000,000|2319,5905,246,5814,5829,5975,214,4171
Exposed Land|253,5829,200,6204,5814,2937,3500
Extents of Aboriginal Lands|76,5975,427,757,253,5829,5814,200,6204,143,2937,3500,5839
Feature names|4271,6313,533,531
Federal Parks|3425,3419,3418,3426,3429,5973,134
Flow direction|1477,1958
Geographical Names|4271,6313
Geopolitical Boundaries|6318,202,5979,1472,4206,3132,3000,4232
Grassland|3046,431,3050,756,3048
Grids|3655,3765,4289
House number of National Road Network|5953,542,5805,5829,6255,3908,356,1529,5969,1978
Herb|1379,771,5907
Hydro Junction|5829,588,6329,363
Hydrographic polygonal features 1:1,000,000 (Atlas of Canada)|256,250,5829,5844,2938,6335,44
Hydrography|267,256,250,3287,3287,3280,6242,282,44
Index of the National Topographic System of Canada|5829,5814,6255,2722,4124,334,282,3505,277,1978
Inter-provincial/territorial boundaries: 1:100,000|225,5823,5913,4206,5829,202,5979,233,4277,5855,5814,4232
International border and provincial/territorial boundaries at 1:1M scale (Atlas of Canada)|225,5823,5913,4206,2938,6335,5829,202,5979,233,4277,5855,5814,4232
Island|5829,5814,3326,6216
Land Cover|3501,3126,2755,786,697
Land Form|3504
Littoral|879,5829,5814,5844,200,6204,3314,3330,3331
Major Cities|5951,77,235,202,5979
Major Roads|5953,542,5805
Map number of NTS mapsheets 1:1,000,000|3768,4299,6255
MixedWood|466,135,3043,3044,3903,1723,1724,740,245
Municipal Boundaries|6262,5814,202,6398,1472,3000,4206,5829,5979,4232
Municipalities (GDF Order-8)|6262,5829,202,5979,6255,5814
Named Roads|4271,6313,5953,356,1529
Names of Aboriginal Lands|5975,253,5829,5814,200,6204,4271,6313,5839,757,2937,3500
Network Linear Flow|3908,3862,1477,1958,4087,3670,3831,3625
NRN Street Names|6193,5829,4271,6313,6285,5953,5814,6037
Ocean - Polygons (1:20K)|267,268,2938,3532,3548,6335
Parks|3426,5973,5780,134,3425,18
Perennial cropland and Pasture|137,431,3038,26,51,3046,771,5907,456,5819
Populated places|5814,2319,5905,5829,5951,2519,2530,3717,4260
Primary Roads|5953
Provinces and States|225,5823,233,4277,5855,207,5954,200,6136,6204,6258,5814
Railway|6319,6184,6160,6095,569,3748,4312,5989,919,603,6105,356,1529
Rivers, Lakes, Wetlands (1:250K)|3287,5813,3280,6242,3296,3265,3542,5908,3162,3262,3333,3356,245,256,3359,3281
Shadow|4224,3079
Shrub - Tall|465,6103,135,3043,3044,3903,168,777,245,740
Surface Features|4169,3612,3515,3503,3288,3250,3108,137,356,1529
Toponym for Waterbody|3295,3542,3265,5908,5829,4174
Transportation|356,357,1529,3864
Tussock graminoid tundra|3487,6233,465,6103,3088,3117,135,3043,3044,3903,3478,6008,4163,6380,3055
Water|3287,5813,3280,6242,137,55,42,256,174,3286,4019,697,3356
